Mutual Fund Name	 Issue_Date	 Name of Issuer	 CUSIP	 Shares	 
Adirondack_Funds	2015-11-10	ABBOTT LABS	2824100	6,625	
Adirondack_Funds	2015-11-10	ABBVIE INC	00287Y109	6,300	
Adirondack_Funds	2015-11-10	ALCOA INC	13817101	45,800	
Adirondack_Funds	2015-11-10	ALLSCRIPTS HEALTHCARE SOLUTN	01988P108	349,059	
Adirondack_Funds	2015-11-10	AT&T INC	00206R102	13,800	
Adirondack_Funds	2015-11-10	AUTOBYTEL INC	05275N205	175,170	
Adirondack_Funds	2015-11-10	AXCELIS TECHNOLOGIES INC	54540109	1,335,963	
Adirondack_Funds	2015-11-10	AXT INC	00246W103	277,040	
Adirondack_Funds	2015-11-10	BARRETT BILL CORP	06846N104	57,239	
Adirondack_Funds	2015-11-10	BENCHMARK ELECTRS INC	08160H101	56,173	
Adirondack_Funds	2015-11-10	BLACK DIAMOND INC	09202G101	775,561	
Adirondack_Funds	2015-11-10	BLOUNT INTL INC	95180105	673,194	
Adirondack_Funds	2015-11-10	BOSTON SCIENTIFIC CORP	101137107	34,025	
Adirondack_Funds	2015-11-10	BOULDER BRANDS INC	101405108	450,166	
Adirondack_Funds	2015-11-10	BROCADE COMMUNICATIONS SYS I	111621306	259,487	
Adirondack_Funds	2015-11-10	BROOKLINE BANCORP INC DEL	11373M107	350,140	
Adirondack_Funds	2015-11-10	CALLAWAY GOLF CO	131193104	470,181	
Adirondack_Funds	2015-11-10	CARRIZO OIL & GAS INC	144577103	34,800	
Adirondack_Funds	2015-11-10	CLOUD PEAK ENERGY INC	18911Q102	1,051,395	
Adirondack_Funds	2015-11-10	CNO FINL GROUP INC	12621E103	232,706	
Adirondack_Funds	2015-11-10	COCA COLA ENTERPRISES INC NE	19122T109	12,450	
Adirondack_Funds	2015-11-10	COLUMBIA PIPELINE GROUP INC	198280109	13,175	
Adirondack_Funds	2015-11-10	CONSOLIDATED EDISON INC	209115104	8,225	
Adirondack_Funds	2015-11-10	COVANTA HLDG CORP	22282E102	291,000	
Adirondack_Funds	2015-11-10	CRYOLIFE INC	228903100	272,923	
Adirondack_Funds	2015-11-10	CSS INDS INC	125906107	97,998	
Adirondack_Funds	2015-11-10	CTS CORP	126501105	188,867	
