series_id                     	year	period	       value	month_year
LASST180000000000003          	2010	M01	        11.0	01_2010
LASST180000000000003          	2010	M02	        11.0	02_2010
LASST180000000000003          	2010	M03	        10.9	03_2010
LASST180000000000003          	2010	M04	        10.8	04_2010
LASST180000000000003          	2010	M05	        10.6	05_2010
LASST180000000000003          	2010	M06	        10.4	06_2010
LASST180000000000003          	2010	M07	        10.3	07_2010
LASST180000000000003          	2010	M08	        10.1	08_2010
LASST180000000000003          	2010	M09	        10.0	09_2010
LASST180000000000003          	2010	M10	         9.9	10_2010
LASST180000000000003          	2010	M11	         9.7	11_2010
LASST180000000000003          	2010	M12	         9.4	12_2010
LASST180000000000003          	2011	M01	         9.2	01_2011
LASST180000000000003          	2011	M02	         9.0	02_2011
LASST180000000000003          	2011	M03	         8.9	03_2011
LASST180000000000003          	2011	M04	         8.9	04_2011
LASST180000000000003          	2011	M05	         9.0	05_2011
LASST180000000000003          	2011	M06	         9.2	06_2011
LASST180000000000003          	2011	M07	         9.3	07_2011
LASST180000000000003          	2011	M08	         9.4	08_2011
LASST180000000000003          	2011	M09	         9.4	09_2011
LASST180000000000003          	2011	M10	         9.2	10_2011
LASST180000000000003          	2011	M11	         9.0	11_2011
LASST180000000000003          	2011	M12	         8.8	12_2011
LASST180000000000003          	2012	M01	         8.6	01_2012
LASST180000000000003          	2012	M02	         8.4	02_2012
LASST180000000000003          	2012	M03	         8.3	03_2012
LASST180000000000003          	2012	M04	         8.3	04_2012
LASST180000000000003          	2012	M05	         8.3	05_2012
LASST180000000000003          	2012	M06	         8.3	06_2012
LASST180000000000003          	2012	M07	         8.3	07_2012
LASST180000000000003          	2012	M08	         8.3	08_2012
LASST180000000000003          	2012	M09	         8.3	09_2012
LASST180000000000003          	2012	M10	         8.3	10_2012
LASST180000000000003          	2012	M11	         8.4	11_2012
LASST180000000000003          	2012	M12	         8.4	12_2012
LASST180000000000003          	2013	M01	         8.5	01_2013
LASST180000000000003          	2013	M02	         8.4	02_2013
LASST180000000000003          	2013	M03	         8.3	03_2013
LASST180000000000003          	2013	M04	         8.1	04_2013
LASST180000000000003          	2013	M05	         8.0	05_2013
LASST180000000000003          	2013	M06	         7.8	06_2013
LASST180000000000003          	2013	M07	         7.6	07_2013
LASST180000000000003          	2013	M08	         7.5	08_2013
LASST180000000000003          	2013	M09	         7.2	09_2013
LASST180000000000003          	2013	M10	         7.0	10_2013
LASST180000000000003          	2013	M11	         6.7	11_2013
LASST180000000000003          	2013	M12	         6.5	12_2013
LASST180000000000003          	2014	M01	         6.4	01_2014
LASST180000000000003          	2014	M02	         6.3	02_2014
LASST180000000000003          	2014	M03	         6.2	03_2014
LASST180000000000003          	2014	M04	         6.2	04_2014
LASST180000000000003          	2014	M05	         6.1	05_2014
LASST180000000000003          	2014	M06	         6.0	06_2014
LASST180000000000003          	2014	M07	         5.9	07_2014
LASST180000000000003          	2014	M08	         5.8	08_2014
LASST180000000000003          	2014	M09	         5.8	09_2014
LASST180000000000003          	2014	M10	         5.7	10_2014
LASST180000000000003          	2014	M11	         5.6	11_2014
LASST180000000000003          	2014	M12	         5.5	12_2014
LASST180000000000003          	2015	M01	         5.4	01_2015
LASST180000000000003          	2015	M02	         5.3	02_2015
LASST180000000000003          	2015	M03	         5.1	03_2015
LASST180000000000003          	2015	M04	         5.0	04_2015
LASST180000000000003          	2015	M05	         4.9	05_2015
LASST180000000000003          	2015	M06	         4.8	06_2015
