series_id                     	year	period	       value	month_year
LASST280000000000003          	2010	M01	        10.8	01_2010
LASST280000000000003          	2010	M02	        10.9	02_2010
LASST280000000000003          	2010	M03	        10.8	03_2010
LASST280000000000003          	2010	M04	        10.7	04_2010
LASST280000000000003          	2010	M05	        10.6	05_2010
LASST280000000000003          	2010	M06	        10.2	06_2010
LASST280000000000003          	2010	M07	        10.0	07_2010
LASST280000000000003          	2010	M08	        10.0	08_2010
LASST280000000000003          	2010	M09	        10.0	09_2010
LASST280000000000003          	2010	M10	        10.1	10_2010
LASST280000000000003          	2010	M11	        10.1	11_2010
LASST280000000000003          	2010	M12	        10.1	12_2010
LASST280000000000003          	2011	M01	        10.1	01_2011
LASST280000000000003          	2011	M02	        10.1	02_2011
LASST280000000000003          	2011	M03	        10.1	03_2011
LASST280000000000003          	2011	M04	        10.1	04_2011
LASST280000000000003          	2011	M05	        10.1	05_2011
LASST280000000000003          	2011	M06	        10.2	06_2011
LASST280000000000003          	2011	M07	        10.1	07_2011
LASST280000000000003          	2011	M08	        10.1	08_2011
LASST280000000000003          	2011	M09	        10.0	09_2011
LASST280000000000003          	2011	M10	         9.8	10_2011
LASST280000000000003          	2011	M11	         9.7	11_2011
LASST280000000000003          	2011	M12	         9.4	12_2011
LASST280000000000003          	2012	M01	         9.2	01_2012
LASST280000000000003          	2012	M02	         9.1	02_2012
LASST280000000000003          	2012	M03	         9.0	03_2012
LASST280000000000003          	2012	M04	         8.9	04_2012
LASST280000000000003          	2012	M05	         9.0	05_2012
LASST280000000000003          	2012	M06	         9.0	06_2012
LASST280000000000003          	2012	M07	         9.1	07_2012
LASST280000000000003          	2012	M08	         9.0	08_2012
LASST280000000000003          	2012	M09	         9.0	09_2012
LASST280000000000003          	2012	M10	         8.9	10_2012
LASST280000000000003          	2012	M11	         8.9	11_2012
LASST280000000000003          	2012	M12	         8.9	12_2012
LASST280000000000003          	2013	M01	         8.9	01_2013
LASST280000000000003          	2013	M02	         8.9	02_2013
LASST280000000000003          	2013	M03	         8.9	03_2013
LASST280000000000003          	2013	M04	         8.8	04_2013
LASST280000000000003          	2013	M05	         8.7	05_2013
LASST280000000000003          	2013	M06	         8.6	06_2013
LASST280000000000003          	2013	M07	         8.5	07_2013
LASST280000000000003          	2013	M08	         8.4	08_2013
LASST280000000000003          	2013	M09	         8.3	09_2013
LASST280000000000003          	2013	M10	         8.2	10_2013
LASST280000000000003          	2013	M11	         8.1	11_2013
LASST280000000000003          	2013	M12	         8.1	12_2013
LASST280000000000003          	2014	M01	         8.0	01_2014
LASST280000000000003          	2014	M02	         8.0	02_2014
LASST280000000000003          	2014	M03	         7.9	03_2014
LASST280000000000003          	2014	M04	         7.8	04_2014
LASST280000000000003          	2014	M05	         7.7	05_2014
LASST280000000000003          	2014	M06	         7.6	06_2014
LASST280000000000003          	2014	M07	         7.5	07_2014
