series_id                     	year	period	       value	month_year
LASST340000000000003          	2010	M01	         9.8	01_2010
LASST340000000000003          	2010	M02	         9.7	02_2010
LASST340000000000003          	2010	M03	         9.7	03_2010
LASST340000000000003          	2010	M04	         9.6	04_2010
LASST340000000000003          	2010	M05	         9.5	05_2010
LASST340000000000003          	2010	M06	         9.4	06_2010
LASST340000000000003          	2010	M07	         9.4	07_2010
LASST340000000000003          	2010	M08	         9.4	08_2010
LASST340000000000003          	2010	M09	         9.4	09_2010
LASST340000000000003          	2010	M10	         9.5	10_2010
LASST340000000000003          	2010	M11	         9.5	11_2010
LASST340000000000003          	2010	M12	         9.5	12_2010
LASST340000000000003          	2011	M01	         9.4	01_2011
LASST340000000000003          	2011	M02	         9.4	02_2011
LASST340000000000003          	2011	M03	         9.4	03_2011
LASST340000000000003          	2011	M04	         9.4	04_2011
LASST340000000000003          	2011	M05	         9.4	05_2011
LASST340000000000003          	2011	M06	         9.4	06_2011
LASST340000000000003          	2011	M07	         9.4	07_2011
LASST340000000000003          	2011	M08	         9.3	08_2011
LASST340000000000003          	2011	M09	         9.3	09_2011
LASST340000000000003          	2011	M10	         9.3	10_2011
LASST340000000000003          	2011	M11	         9.2	11_2011
LASST340000000000003          	2011	M12	         9.2	12_2011
LASST340000000000003          	2012	M01	         9.2	01_2012
LASST340000000000003          	2012	M02	         9.2	02_2012
LASST340000000000003          	2012	M03	         9.3	03_2012
LASST340000000000003          	2012	M04	         9.4	04_2012
LASST340000000000003          	2012	M05	         9.5	05_2012
LASST340000000000003          	2012	M06	         9.5	06_2012
LASST340000000000003          	2012	M07	         9.4	07_2012
LASST340000000000003          	2012	M08	         9.4	08_2012
LASST340000000000003          	2012	M09	         9.3	09_2012
LASST340000000000003          	2012	M10	         9.3	10_2012
LASST340000000000003          	2012	M11	         9.3	11_2012
LASST340000000000003          	2012	M12	         9.2	12_2012
LASST340000000000003          	2013	M01	         9.0	01_2013
LASST340000000000003          	2013	M02	         8.9	02_2013
LASST340000000000003          	2013	M03	         8.7	03_2013
LASST340000000000003          	2013	M04	         8.6	04_2013
LASST340000000000003          	2013	M05	         8.5	05_2013
LASST340000000000003          	2013	M06	         8.4	06_2013
LASST340000000000003          	2013	M07	         8.3	07_2013
LASST340000000000003          	2013	M08	         8.1	08_2013
LASST340000000000003          	2013	M09	         7.9	09_2013
LASST340000000000003          	2013	M10	         7.7	10_2013
LASST340000000000003          	2013	M11	         7.5	11_2013
LASST340000000000003          	2013	M12	         7.3	12_2013
LASST340000000000003          	2014	M01	         7.2	01_2014
LASST340000000000003          	2014	M02	         7.1	02_2014
LASST340000000000003          	2014	M03	         6.9	03_2014
LASST340000000000003          	2014	M04	         6.8	04_2014
LASST340000000000003          	2014	M05	         6.7	05_2014
LASST340000000000003          	2014	M06	         6.7	06_2014
LASST340000000000003          	2014	M07	         6.6	07_2014
LASST340000000000003          	2014	M08	         6.6	08_2014
LASST340000000000003          	2014	M09	         6.6	09_2014
LASST340000000000003          	2014	M10	         6.6	10_2014
LASST340000000000003          	2014	M11	         6.6	11_2014
LASST340000000000003          	2014	M12	         6.5	12_2014
LASST340000000000003          	2015	M01	         6.5	01_2015
LASST340000000000003          	2015	M02	         6.4	02_2015
LASST340000000000003          	2015	M03	         6.3	03_2015
LASST340000000000003          	2015	M04	         6.2	04_2015
LASST340000000000003          	2015	M05	         6.1	05_2015
LASST340000000000003          	2015	M06	         5.9	06_2015
LASST340000000000003          	2015	M07	         5.7	07_2015
LASST340000000000003          	2015	M08	         5.5	08_2015
LASST340000000000003          	2015	M09	         5.3	09_2015
LASST340000000000003          	2015	M10	         5.2	10_2015
LASST340000000000003          	2015	M11	         5.1	11_2015
LASST340000000000003          	2015	M12	         5.1	12_2015
LASST340000000000004          	2010	M01	      445356	01_2010
LASST340000000000004          	2010	M02	      443258	02_2010
LASST340000000000004          	2010	M03	      440136	03_2010
LASST340000000000004          	2010	M04	      436561	04_2010
LASST340000000000004          	2010	M05	      432656	05_2010
LASST340000000000004          	2010	M06	      429265	06_2010
LASST340000000000004          	2010	M07	      427409	07_2010
LASST340000000000004          	2010	M08	      427289	08_2010
LASST340000000000004          	2010	M09	      428513	09_2010
LASST340000000000004          	2010	M10	      430079	10_2010
LASST340000000000004          	2010	M11	      430962	11_2010
LASST340000000000004          	2010	M12	      430905	12_2010
LASST340000000000004          	2011	M01	      430341	01_2011
LASST340000000000004          	2011	M02	      429523	02_2011
LASST340000000000004          	2011	M03	      428274	03_2011
LASST340000000000004          	2011	M04	      427041	04_2011
LASST340000000000004          	2011	M05	      426525	05_2011
