series_id                     	year	period	       value	
LASST280000000000003          	2010	M06	        10.2	
LASST280000000000003          	2011	M06	        10.2	
LASST280000000000003          	2012	M06	         9.0	
LASST280000000000003          	2013	M06	         8.6	
LASST280000000000003          	2014	M06	         7.6	
LASST280000000000003          	2015	M06	         6.3	
LASST280000000000004          	2010	M06	      132996	
LASST280000000000004          	2011	M06	      136574	
LASST280000000000004          	2012	M06	      119248	
LASST280000000000004          	2013	M06	      109734	
LASST280000000000004          	2014	M06	       94473	
LASST280000000000004          	2015	M06	       80178	
LASST280000000000005          	2010	M06	     1173441	
LASST280000000000005          	2011	M06	     1207954	
LASST280000000000005          	2012	M06	     1200361	
LASST280000000000005          	2013	M06	     1165168	
LASST280000000000005          	2014	M06	     1152877	
LASST280000000000005          	2015	M06	     1185003	
LASST280000000000006          	2010	M06	     1306437	
LASST280000000000006          	2011	M06	     1344528	
LASST280000000000006          	2012	M06	     1319609	
LASST280000000000006          	2013	M06	     1274902	
LASST280000000000006          	2014	M06	     1247350	
LASST280000000000006          	2015	M06	     1265181	
LAUCA281850000000003          	2010	M06	        13.8	
LAUCA281850000000003          	2011	M06	        14.0	
LAUCA281850000000003          	2012	M06	        13.1	
LAUCA281850000000003          	2013	M06	        13.3	
LAUCA281850000000003          	2014	M06	        11.7	
LAUCA281850000000003          	2015	M06	        10.0	
LAUCA281850000000004          	2010	M06	        3325	
LAUCA281850000000004          	2011	M06	        3451	
LAUCA281850000000004          	2012	M06	        3110	
LAUCA281850000000004          	2013	M06	        3023	
LAUCA281850000000004          	2014	M06	        2566	
LAUCA281850000000004          	2015	M06	        2200	
LAUCA281850000000005          	2010	M06	       20768	
LAUCA281850000000005          	2011	M06	       21279	
LAUCA281850000000005          	2012	M06	       20691	
LAUCA281850000000005          	2013	M06	       19691	
LAUCA281850000000005          	2014	M06	       19400	
LAUCA281850000000005          	2015	M06	       19723	
LAUCA281850000000006          	2010	M06	       24093	
LAUCA281850000000006          	2011	M06	       24730	
LAUCA281850000000006          	2012	M06	       23801	
LAUCA281850000000006          	2013	M06	       22714	
LAUCA281850000000006          	2014	M06	       21966	
LAUCA281850000000006          	2015	M06	       21923	
LAUCA282000000000003          	2010	M06	        13.3	
LAUCA282000000000003          	2011	M06	        12.5	
LAUCA282000000000003          	2012	M06	        11.1	
LAUCA282000000000003          	2013	M06	        11.6	
LAUCA282000000000003          	2014	M06	        11.1	
LAUCA282000000000003          	2015	M06	         8.6	
LAUCA282000000000004          	2010	M06	        4588	
LAUCA282000000000004          	2011	M06	        4532	
LAUCA282000000000004          	2012	M06	        4022	
LAUCA282000000000004          	2013	M06	        4199	
LAUCA282000000000004          	2014	M06	        3676	
LAUCA282000000000004          	2015	M06	        2850	
LAUCA282000000000005          	2010	M06	       30026	
LAUCA282000000000005          	2011	M06	       31730	
LAUCA282000000000005          	2012	M06	       32303	
LAUCA282000000000005          	2013	M06	       31974	
LAUCA282000000000005          	2014	M06	       29585	
LAUCA282000000000005          	2015	M06	       30430	
LAUCA282000000000006          	2010	M06	       34614	
LAUCA282000000000006          	2011	M06	       36262	
LAUCA282000000000006          	2012	M06	       36325	
LAUCA282000000000006          	2013	M06	       36173	
LAUCA282000000000006          	2014	M06	       33261	
LAUCA282000000000006          	2015	M06	       33280	
LAUCA282980000000003          	2010	M06	         9.4	
LAUCA282980000000003          	2011	M06	         9.5	
LAUCA282980000000003          	2012	M06	         8.7	
LAUCA282980000000003          	2013	M06	         8.4	
LAUCA282980000000003          	2014	M06	         7.2	
LAUCA282980000000003          	2015	M06	         6.3	
LAUCA282980000000004          	2010	M06	       29282	
LAUCA282980000000004          	2011	M06	       30712	
LAUCA282980000000004          	2012	M06	       27748	
LAUCA282980000000004          	2013	M06	       25788	
LAUCA282980000000004          	2014	M06	       21899	
LAUCA282980000000004          	2015	M06	       19358	
LAUCA282980000000005          	2010	M06	      283223	
LAUCA282980000000005          	2011	M06	      293673	
LAUCA282980000000005          	2012	M06	      290941	
LAUCA282980000000005          	2013	M06	      282759	
LAUCA282980000000005          	2014	M06	      280212	
LAUCA282980000000005          	2015	M06	      289400	
LAUCA282980000000006          	2010	M06	      312505	
LAUCA282980000000006          	2011	M06	      324385	
LAUCA282980000000006          	2012	M06	      318689	
LAUCA282980000000006          	2013	M06	      308547	
LAUCA282980000000006          	2014	M06	      302111	
LAUCA282980000000006          	2015	M06	      308758	
LAUCN280010000000003          	2010	M06	        11.6	
LAUCN280010000000003          	2011	M06	        12.0	
LAUCN280010000000003          	2012	M06	        11.0	
LAUCN280010000000003          	2013	M06	        10.5	
LAUCN280010000000003          	2014	M06	         9.7	
LAUCN280010000000003          	2015	M06	         9.1	
LAUCN280010000000004          	2010	M06	        1485	
LAUCN280010000000004          	2011	M06	        1603	
LAUCN280010000000004          	2012	M06	        1387	
LAUCN280010000000004          	2013	M06	        1281	
LAUCN280010000000004          	2014	M06	        1165	
LAUCN280010000000004          	2015	M06	        1076	
LAUCN280010000000005          	2010	M06	       11303	
